Project ID;Project Name;Description;Department;Budget;Start Date;End Date;Resources (mandays);Status;Tags;network_coverage_quality_improvement;regulatory_compliance;financial_viability_roi_npv;market_demand_subscriber_growth;implementation_risk_complexity
p001;5G Tower Construction;Construct 5G towers in suburban areas to enhance coverage;Infrastructure;1500000;2025-01-10;2025-09-15;450;initiation;coverage,5g,infrastructure;5;3;4;4;2
p002;Core Network Firewall Upgrade;Upgrade firewall for better data security and compliance;IT;300000;2025-02-01;2025-06-30;200;initiation;security,compliance,firewall;2;5;3;2;4
p003;Fiber Optic Backbone Expansion;Lay fiber backbone across key regions to improve capacity;Infrastructure;1800000;2025-03-01;2025-10-01;400;initiation;fiber,infrastructure,capacity;4;2;4;3;3
p004;Customer Self-Service Portal;Develop a self-service portal for customers to reduce wait times;IT;200000;2025-04-01;2025-09-01;100;initiation;portal,selfservice,customer;1;4;3;4;5
p005;Mobile App Modernization;Revamp mobile app UX for better user engagement;IT;150000;2025-03-15;2025-08-31;80;initiation;app,ux,modernization;2;3;4;5;4
p006;Smart City IoT Pilot;Test IoT infrastructure in collaboration with city council;R&D;600000;2025-02-10;2025-07-20;220;initiation;iot,smartcity,pilot;3;3;3;3;3
p007;Data Center Power Redundancy;Enhance power backup systems in primary data center;Infrastructure;400000;2025-05-01;2025-11-01;120;initiation;datacenter,power,backup;3;2;3;2;4
p008;International Roaming Expansion;Negotiate and enable wider roaming in new markets;Marketing;300000;2025-06-01;2025-11-30;100;initiation;roaming,marketing,newmarkets;2;3;4;5;4
p009;Regulatory Audit Framework;Implement processes to meet upcoming regulatory audits;IT;120000;2025-01-20;2025-06-20;70;initiation;audit,compliance,process;1;5;2;2;5
p010;LTE Capacity Boost;Upgrade existing LTE infrastructure to handle peak loads;Operation;500000;2025-02-15;2025-09-15;250;initiation;lte,operation,capacity;4;3;4;4;2
p011;VoIP Billing Integration;Integrate VoIP billing with main billing system;IT;220000;2025-03-05;2025-08-05;80;initiation;voip,billing,integration;1;4;3;3;4
p012;Green Energy Retrofit;Install solar panels at remote tower sites for sustainable power;Infrastructure;450000;2025-04-10;2025-10-10;150;initiation;green,solar,towers;3;2;4;2;3
p013;Data Governance Overhaul;Establish data governance policies for compliance;IT;200000;2025-05-01;2025-10-01;100;initiation;datagovernance,compliance,policies;1;5;2;2;5
p014;Fleet Management Automation;Automate fleet tracking and maintenance scheduling;Operation;180000;2025-06-01;2025-12-01;90;initiation;fleet,automation,maintenance;1;3;4;2;4
p015;Next-Gen SMS Platform;Deploy advanced messaging platform with better analytics;IT;350000;2025-02-20;2025-08-20;150;initiation;sms,messaging,analytics;2;3;3;4;3
p016;AI-Driven Customer Insights;Implement AI solutions for churn prediction and upselling;Marketing;800000;2025-03-10;2025-10-10;300;initiation;ai,customer,marketing;2;2;5;5;3
p017;Edge Computing Trial;Pilot edge computing nodes for reduced latency;R&D;1000000;2025-04-05;2025-11-05;350;initiation;edge,rd,latency;4;2;3;4;2
p018;Business Continuity Drill;Conduct large-scale failover test for mission-critical systems;Operation;180000;2025-05-15;2025-09-15;80;initiation;bcp,failover,test;1;4;2;2;5
p019;Unified Communication Rollout;Merge chat, voice, and collaboration into one platform;IT;500000;2025-03-25;2025-09-25;250;initiation;communication,platform,collab;2;3;3;4;3
p020;Customer Loyalty Program;Launch points-based rewards program for subscribers;Marketing;250000;2025-02-01;2025-07-01;100;initiation;loyalty,rewards,marketing;1;2;5;5;4
p021;Global IP Transit Upgrade;Acquire better global IP transit for improved bandwidth;Infrastructure;1400000;2025-03-15;2025-11-15;400;initiation;iptransit,bandwidth,infra;5;3;4;4;2
p022;Cloud Migration Phase 1;Migrate selected legacy apps to public cloud;IT;900000;2025-04-01;2025-10-01;300;initiation;cloud,migration,legacy;2;4;4;3;3
p023;Mobile Gaming Partnership;Partner with gaming firms for optimized mobile experiences;Marketing;600000;2025-05-05;2025-12-05;250;initiation;gaming,marketing,partnership;2;2;5;5;3
